text,toxicity,emocao
Apoiar o governo Eduardo Leite virou ofensa #DebateNaBandRS,0.16477858,Positivo
O Instituto Flores da Cunha é símbolo casuismo desse governo Leite e Sartori Parou obra até decidir privatizar parte espaço @EdegarPretto vai terminar obra e trazer todo o Instituto de Educação de volta para casa debate da @bandrs agora,0.28280056,Positivo
RT @luizmuller #DebateNaBandRS #DebateNaBand o @EdegarPretto mostra que nos governos PT fo Tarso e Olívio o Rio Grande cresceu m…,0.15721503,Positivo
@EdegarPretto ????,0.28004074,Positivo
RT @PompeodeMattos O @VieiraPDT bateu com duas mãos \nLeite se gaba de fazer o mínimo \nO Edegar Pretto diz que vai dar café da manhã p…,0.22505458,Positivo
"Onix caixa dois confesso não pode falar de corrupção""  #DebateNaBandRS",0.19987535,Positivo
se o @onyxlorenzoni fornecer fonte da juventude todos gaúchos farei campanha\n\no bitcho tem 67 anos e parece que tem uns 40 ,0.15354952,Positivo
@AlessandraBremm @EdegarPretto @ptbrasil @VieiraPDT E por que não apoiava os CIEPS,0.16477858,Positivo
@Henriqueptpel @Heinzeoficial @onyxlorenzoni @LulaOficial @jairbolsonaro Alguém para esse homi,0.14508685,Positivo
RS existem dois campos ou tá com @LulaOficial ou tá com @jairbolsonaro  @onyxlorenzoni \n\nAqui tem @cirogomes também @onyxlorenzoni E ao invés de toalhas para passar pano gente tem Projeto Nacional de Desenvolvimento\n\n#DebateNaBandRS,0.17891175,Positivo
Onix falando sobre homem de palavra hahahaha  #DebateNaBandRS,0.21664919,Positivo
RT @julioaraujopsol Eduardo Leite falando das mulheres e eu só consigo lembrar caso dos exames citopatológicos #DebateNaBandRS,0.1587171,Positivo
Jobim disse que todo mundo quer resolver seu problema entregando tudo quebrado pro próximo Diz que quer ser primeiro governo liberal da história RS\nEdegar disse que hoje há filas intermináveis porque Leite prefere se vangloriar e que não aumentará impostos #DebateNaBandRS,0.30894676,Positivo
@EdegarPretto aprendeu com seus pais e também com @LulaOficial @Olivio_Dutra @TarsoGenro @DilmaBR e @PauloPaim mas fundamentalmente com o povo gaúcho que é preciso apenas de uma oportunidade para ser feliz #LulaOlivioPrettoRuas #DebatenaBandRS,0.26290515,Positivo
RT @AMonicaFacio Ao contrário Leite @EdegarPretto é um homem de palavra e o que ele fala irá fazer Não à privatização que é nosso…,0.28004074,Positivo
@Heinzeoficial Eu acho que os ônibus que vem da grande Porto Alegre não deveriam passar das fronteiras da cidade pois comprometem o trânsito nas grandes avenidas,0.16477858,Positivo
Graças Deus que não tivemos um governo liberal RS\n#DebateNaBandRS,0.13047424,Positivo
O Jobim não é político mas sim vendedor dos bens Estado\n\n#DebateNaBandRS,0.16070004,Positivo
Saiba regras #DebateNaBandRS e acompanhe com gente aqui Twitter ou  \n\n#DebateNaBand ,0.12013068,Positivo
Banrisul deve ser um indutor de desenvolvimento e não um banco para gerar lucros como se fosse um banco privado Edegar vai colocar o Banrisul serviço desenvolvimento RS serviço Povo RS #LulaOlivioPrettoRuas #DebatenaBandRS,0.2228434,Positivo
Vieira pergunta para Onyx sobre questão da saúde que foi agravada pela pandemia Pergunta quais são propostas dele nessa área\n\nOnyx diz que ah gente ele tá ali fazendo propaganda enganosa governo Bolsonaro de novo RECUSO #DebateNaBandRS,0.1695651,Positivo
RT @Valdeci13rs Olho na Band \n\n Olho @EdegarPretto\n\n#LulaOlivioEdegarRuas \n#DebateNaBandRS\n#RSQueOPovoQuer \n#EquipeValdeci ,0.3379852,Positivo
@EdegarPretto firme na defesa patrimônio público patrimônio das gaúchas e dos gaúchos O Banrisul e Corsan não devem estar nas mãos dos ricos e poderosos mas nosso povo #DebateNaBandRS \n\n#EdegarPrettoGovernador,0.28291997,Positivo
Ser contra privatizações da Corsan e Banrisul é um compromisso estratégico com o povo gaúcho Nosso candidato governador vai muito bem ao assumir essa bandeira  #DebateNaBandRS  Boa @EdegarPretto ,0.2840909,Positivo
RT @sofiacavedonPT É palavra de gaúcha e de gaúcho Com @LulaOficial e @EdegarPretto vamos virar página barrar o projeto privatista e i…,0.2840909,Positivo
Privatização da água é coisa de quem como @jairbolsonaro e @EduardoLeite_ não gostam povo\n\n#LulaOlivioEdegarRuas\n#LulaOlivioPrettoRuas\n#DebateNaBandRS,0.34042552,Positivo
Acompanhe o Debate da BandRS onde @EdegarPretto apresenta os seus compromissos e sua palavra de gaúcho com o povo RS\n\nAssista ao vivo na página PTRS Facebook \n\n#DebateNaBandRS\n#LulaOlivioPrettoRuas ,0.34042552,Positivo
Vieira da Cunha fazendo uma campanha de esquerda Aprende Juliana #DebateNaBandRS,0.11168385,Positivo
RT @Biga_Pereira O debate começou e já mostra quem de verdade está ao lado povo gaúcho #LulaOlivioPrettoRuas  #DebatenaBandRS,0.1410789,Positivo
RT @JulianaBrizola Vieira já chegou mostrando quê veio É contra política neoliberal de privatizações como solução para os problemas E…,0.20782387,Positivo
@EdegarPretto defendendo Corsan e Banrisul Patrimônio dos gaúchos e para defender interesses dos gaúchos #DebateNaBandRS,0.28158987,Positivo
Uma de suas causas com reconhecimento internacional é conscientização dos homens pelo fim da violência contra mulheres que levou @EdegarPretto ao Comitê Nacional @ElesPorElas da @UN_Women único Comitê Estadual autorizado pela ONU #LulaOlivioPrettoRuas #DebatenaBandRS,0.28004074,Positivo
RT @MiguelSRossetto O #DebateNaBandRS começou\nAcompanhe com gente \n\n@EdegarPretto é o candidato de @LulaOficial…,0.16477858,Positivo
RT @_mateusbran Edegar e Viera falando mal das privatizações Milk ?????? #DebateNaBandRS,0.24135318,Positivo
RT @SantosPaulinho @EdegarPretto firme na defesa patrimônio público patrimônio das gaúchas e dos gaúchos O Banrisul e Corsan não…,0.21222565,Positivo
RT @EdegarPretto Sou o candidato presidente @LulaOficial RS \nAo lado de @PedroRuasPsol e @olivio_dutra nós representamos uma fr…,0.2227339,Positivo
@bandrs Não tem milagre Para ter mais saúde precisamos ter mais orçamento governo @TarsoGenro foi primeira vez que o estado aplicou 12 orçamento em saúde #DebatenaBandRS #LulaOlivioPrettoRuas,0.16477858,Positivo
RT @StelaFarias Vc conhece Edegar Pretto Então aproveite o debate na Band @EdegarPretto tem 51 anos e nasceu em Miraguaí na Região Cele…,0.13729498,Positivo
Foi só uma gripisinha Ponto final #DebateNaBandRS,0.2586519,Positivo
O Onyx mente que nem sente\n\nContando Vantagem até sobre vacinas que o governo dele ignorou\n\n#DebateNaBandRS,0.16477858,Positivo
RT @HenriqueFontana O @EdegarPretto foi o deputado mais votado partido nas três eleições em que participou e líder\nda bancada PT no…,0.16194487,Positivo
RT @SigaPepeVargas Uma de suas causas com reconhecimento internacional é conscientização dos homens pelo fim da violência contra mulh…,0.33988136,Positivo
Onyx só fala em princípios valores liberdade e ainda dá razão de forma indireta pra quem não quis se vacinar Tô sem paciência desculpa aí galera #DebateNaBandRS,0.26897854,Positivo
RT @NatashaPSOL Candidato NOVO “não usamos o teu dinheiro para fazer campanha” \n\nEles tem grana das empresas que pagam campanhas de…,0.21927409,Positivo
RT @LeonelRadde Daqui pouco tem o nosso futuro Governador RS @EdegarPretto demolindo Debate da @bandrs  É o time @LulaOficia…,0.115397476,Positivo
PT com mesmo discurso Kkk Passa ano entra ano e esquerda sempre com mesmo discurso Nunca foi tão facil escolher\n22 em 22 primeiro turno #DebateNaBandRS,0.31690976,Positivo
proposta Onyx é o Bolsonaro kkkkkkkkkk #DebateNaBandRS,0.16477858,Positivo
@EdegarPretto muito bem debate \nNão tem escolha melhor para o Rio Grande Sul \n#DebateNaBandRS @bandrs,0.17298111,Positivo
#DebateNaBandRS O @EdegarPretto mostrando que veio Junto com #LulaEoPTReconstruirOBrasil e o Rio Grande #DebateNaBand #LulaOlivioEdegarRuas ,0.33680063,Positivo
Onyx já falou  liberdade de não tomar vacina #DebateNaBandRS,0.16477858,Positivo
@onyxlorenzoni Que legal #ForaBolsonaro,0.16477858,Positivo
O cara tá orgulhoso de ter feito parte governo Bolsonaro mesmo ein Tri massa #DebateNaBandRS,0.22331434,Positivo
O @EdegarPretto anulará todos os atos de privatização aqui Rio Grande Assim também será com o Banrisul ele vai ser indutor investimento para os serviços agricultura e infraestrutura estado Palavra de Gaúcho\n\n#DebateNaBandRS #LulaOlivioPrettoRuas #RSqueOPovoQuer,0.26726395,Positivo
O @Heinzeoficial na sua fala inicial nos costumes disse NADA,0.21962517,Positivo
RT @PTpoa @EdegarPretto aprendeu com seus pais e também com @LulaOficial @Olivio_Dutra @TarsoGenro @DilmaBR e @PauloPaim mas fundamental…,0.27327132,Positivo
RT @SigaPepeVargas #LulaOlivioPrettoRuas #DebateNaBandRS,0.14457068,Positivo
O Heinze não tá puro tomou um Rivotril #DebateNaBandRS,0.34042552,Positivo
Onyx nem treme na mentira #DebateNaBandRS,0.38054818,Positivo
RT @JulianaBrizola Leite adora dizer que “virou o jogo RS” Perguntem aos professores e brigadianos que jogo ele virou Pq pro funciona…,0.27382115,Positivo
@EdegarPretto ,0.16477858,Positivo
RT @thiamparo Já que estamos falando de armas nas mãos de policiais em horário de folga está tramitando o PL 9424 de 2017 @onyxlorenzo…,0.21968637,Positivo
O debate começou e já mostramos que estamos com verdade e o compromisso ao lado povo gaúcho \n@EdegarPretto\n #DebateNaBandRS #LulaOlivioPrettoRuas,0.16477858,Positivo
RT @PompeodeMattos Nosso candidato @VieiraPDT fala das consequências da absurda privatização da CEEE vendida por R 100 mil reais aument…,0.2840909,Positivo
Quero fazer meu protesto que mesmo com superavit da arrecadação o Gov atual não investe mais que os 12 constitucionais @VieiraPDT \n\n#DebateNaBandRS,0.21398352,Positivo
#JobimNaBandRS ,0.15687253,Positivo
@bandrs Leite fez muito pelo Estado Trabalho deve continuar Fechado com Eduardo Leite para governador e com Busato pra deputado federal #UniãoBrasilRS #DebatenaBandRS #busato,0.17213543,Positivo
RT @MauricioCostaRS principal reforma feita pelo Governo Bolsonaro foi reforma MORAL\n\nO Presidente colocou coisas lugar e est…,0.19112219,Positivo
Os trabalhadores da saúde foram indispensáveis combate à pandemia Sim @vieirapdt apesar de Bolsonaro O presidente tem sangue nas mãos e quem está com ele também #DebateNaBand,0.2840909,Positivo
#partidonovo30 Já vai começar #JobimNaBand \n\n@RicardoJobim30  nosso pré-candidato ao governo Rio Grande Sul Vou trazer verdades que os gaúchos precisam conhecer \n\n,0.15732065,Positivo
RT @SigaPepeVargas #DebateNaBandRS #LulaOlivioPrettoRuas #RSqueOPovoQuer,0.23893254,Positivo
Quero solidarizar com 40 mil famílias que perderam seus entes na pandemia aqui RS Considero que foram medidas criminosas de @jairbolsonaro que considerou que era uma gripezinha e negou evidências científicas @VieiraPDT \n\n#DebateNaBandRS,0.34042552,Positivo
@bandrs Fechado com Eduardo Leite para governador e com Busato pra deputado federal #UniãoBrasilRS #DebatenaBandRS #busato,0.16477858,Positivo
RT @_mateusbran Edegar e Viera falando mal das privatizações Milk ?????? #DebateNaBandRS,0.24135318,Positivo
forma como o Onyx fala parece que o Bolsonaro é um Nelson Mandela \n\n#DebateNaBandRS,0.14039259,Positivo
RT @HenriqueFontana O @EdegarPretto foi o deputado mais votado partido nas três eleições em que participou e líder\nda bancada PT no…,0.16194487,Positivo
#DebateNaBandRS #LulaOlivioPrettoRuas #RSqueOPovoQuer ,0.16834942,Positivo
Resposta de Edegar Pretto PT à pergunta inicial #DebateNaBand #DebateNaBandRS ,0.28004074,Positivo
RT @EdegarPretto É hora de somar e nós conhecemos sua força  Edegar e @LulaOficial estão juntos Rio Grande e embora realida…,0.22153156,Positivo
RT @SigaPepeVargas atual dívida RS com União é injusta e impagável dívida era de R 95 bilhões em 1996 nós pagamos R 37 bilh…,0.12413415,Positivo
RT @Henriqueptpel O Onyx diz pra você povo gaúcho que Bolsonaro acertou na economia Ou seja agricultura familiar abandonada um milhão…,0.22663428,Positivo
RT @EdegarPretto Sou o candidato presidente @LulaOficial RS \nAo lado de @PedroRuasPsol e @olivio_dutra nós representamos uma fr…,0.2227339,Positivo
O @EdegarPretto veio cabo da enxada Tem muito orgulho dos pais da origem humilde e de tudo que conquistou com muita luta e diálogo Saiu da roça e graduou-se em Gestão Pública É pai Yuri João e Angelo #DebatenaBandRS #LulaOlivioPrettoRuas,0.21275876,Positivo
@EdegarPretto defende vida defende o povo defende o patrimônio público\n#EdegarPrettoGovernador \n#DebateNaBandRS,0.11491399,Positivo
@Heinzeoficial comemorando uma ponte com sinaleira Kkkk @tvbandeirantes #DebateNaBandRS,0.16397642,Positivo
Faz falta um #Psol nos debates governador Não ganhavam mas diziam umas verdades para inconveniência dos candidatos presentes #DebateNaBandRS #BandRS,0.34042552,Positivo
RT @a_marcellos Onyx afirma sem corar que vacinação Brasil começou com o governo Bolsonaro Segundo ele os fatos não são fatos mas n…,0.2628756,Positivo
"Onyx afirma sem corar que vacinação Brasil começou com o governo Bolsonaro Segundo ele os fatos não são fatos mas narrativas"" Só Bolsonaro e seus acólitos carregam verdade O #DebateNaBandRS vai esquentando",0.28119323,Positivo
Começou época ano que gente acompanha mas não sabe se ri ou se chora de desespero #debatenabandrs,0.28252965,Positivo
"RT @Valdeci13rs Se Deus quiser vou eleger governador e eu vou anular todos os atos de privatização da nossa Corsan"" afirma @EdegarPr…",0.15506357,Positivo
#DebateNaBandRS  parabéns pela largada na frente #BolsonaroNoPrimeiroTurno,0.2064998,Positivo
RT @onyxlorenzoni Rapaziada daqui pouco Segue o link pro debate que começa às 21h \n\n,0.09103047,Neutro
RT @onyxlorenzoni Rapaziada daqui pouco Segue o link pro debate que começa às 21h \n\n,0.091030575,Neutro
RT @onyxlorenzoni Rapaziada daqui pouco Segue o link pro debate que começa às 21h \n\n,0.091030575,Neutro
RT @onyxlorenzoni Rapaziada daqui pouco Segue o link pro debate que começa às 21h \n\n,0.091030575,Neutro
RT @onyxlorenzoni Rapaziada daqui pouco Segue o link pro debate que começa às 21h \n\n,0.091030575,Neutro
RT @onyxlorenzoni Hoje à noite \nAcompanhem ,0.022912968,Neutro
RT @onyxlorenzoni Hoje à noite \nAcompanhem ,0.022912968,Neutro
RT @onyxlorenzoni Hoje à noite \nAcompanhem ,0.022912968,Neutro
RT @onyxlorenzoni Cristã  mãe professora ex-vereadora por dois mandatos vice-prefeita de Guaíba uma vida dedicada servir \nApresent…,0.012811388,Neutro
RT @onyxlorenzoni Cristã  mãe professora ex-vereadora por dois mandatos vice-prefeita de Guaíba uma vida dedicada servir \nApresent…,0.012811388,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @onyxlorenzoni Ao vivo Debate na Band \n,0.033090975,Neutro
RT @olivio_dutra Hoje às 21 horas @edegarpretto participará 1º debate dos pré-candidatos ao governo Estado RS e conto contigo par…,0.055042017,Neutro
RT @olivio_dutra Hoje às 21 horas @edegarpretto participará 1º debate dos pré-candidatos ao governo Estado RS e conto contigo par…,0.055042017,Neutro
RT @olivio_dutra Hoje às 21 horas @edegarpretto participará 1º debate dos pré-candidatos ao governo Estado RS e conto contigo par…,0.055042017,Neutro
RT @olivio_dutra Companheiros e companheiras não percam @edegarpretto às 21 horas em sua participação 1° debate dos pré-candidatos ao…,0.084493786,Neutro
RT @OGustavoNR O Onyx mente que nem sente\n\nContando Vantagem até sobre vacinas que o governo dele ignorou\n\n#DebateNaBandRS,0.099415205,Neutro
"RT @obrunnocruz Onyx  mensalão petrolão""\n\n#DebateNaBandRS ",0.027821004,Neutro
